city,country,latitude,longitude,max temperature,humidity,cloudiness,wind speed,date
qaqortoq,GL,60.72,-46.03,42.8,87,100,3.36,1593056448
ayagoz,KZ,47.97,80.44,67.87,54,70,6.31,1593056445
cape town,ZA,-33.93,18.42,62.01,87,75,11.41,1593056057
gongzhuling,CN,43.5,124.82,76.05,58,83,8.84,1593056500
kasempa,ZM,-13.46,25.83,49.71,96,0,5.77,1593056500
alta floresta,BR,-9.88,-56.09,74.8,66,53,2.66,1593056367
avera,US,33.19,-82.53,71.6,85,40,4.7,1593056076
majalgaon,IN,19.15,76.23,90.36,49,12,5.77,1593056500
kanniyakumari,IN,8.08,77.57,83.16,70,100,13.02,1593056500
pirgos,GR,35.12,25.72,72.0,71,1,15.01,1593056500
kaeo,NZ,-35.1,173.78,57.0,3,87,1.01,1593056501
hasaki,JP,35.73,140.83,68.0,100,75,10.29,1593056078
lavrentiya,RU,65.58,-171.0,37.96,77,97,1.99,1593056060
oranjemund,NA,-28.55,16.43,55.53,82,0,2.77,1593056501
bure,ET,10.7,37.07,56.68,94,93,2.64,1593056501
raga,SS,8.46,25.68,69.82,94,100,4.36,1593056501
ranong,TH,9.97,98.63,84.2,83,75,5.82,1593056112
asmar,AF,35.03,71.36,85.01,30,0,4.32,1593056501
umm lajj,SA,25.02,37.27,81.72,57,0,6.42,1593056502
vikulovo,RU,56.82,70.61,54.99,82,29,10.13,1593056502
ust-ilimsk,RU,58.0,102.66,82.31,29,11,4.7,1593056502
everett,US,47.98,-122.2,66.99,72,1,5.82,1593056318
oriximina,BR,-1.77,-55.87,76.03,86,99,3.02,1593056502
kutum,SD,14.2,24.67,72.23,53,43,6.04,1593056502
kununurra,AU,-15.77,128.73,80.6,15,0,9.17,1593056114
arraial do cabo,BR,-22.97,-42.03,64.4,88,0,6.93,1593056076
san jose,US,37.34,-121.89,75.99,60,20,12.75,1593056260
selizharovo,RU,56.85,33.45,63.63,82,56,4.97,1593056503
dhidhdhoo,MV,6.88,73.1,83.57,75,100,14.07,1593056503
